# Selection : patch(inlet)
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0.13          	-4.996751e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.13025       	-4.992744e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.1305        	-4.990803e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.13075       	-4.993192e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.131         	-4.991790e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.13125       	-4.990786e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.1315        	-4.990725e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.13175       	-4.989190e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.132         	-4.988851e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.13225       	-4.983930e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.1325        	-4.984647e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.13275       	-4.987739e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.133         	-4.986021e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.13325       	-4.985233e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.1335        	-4.984596e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.13375       	-4.980683e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.134         	-4.981175e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.13425       	-4.983451e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.1345        	-4.982607e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.13475       	-4.979123e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.135         	-4.979504e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.13525       	-4.982226e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.1355        	-4.977631e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.13575       	-4.981433e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.136         	-4.979225e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.13625       	-4.977425e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.1365        	-4.980234e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.13675       	-4.978966e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.137         	-4.978820e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
