# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00)) ((0.000000e+00 0.000000e+00 0.000000e+00) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((-3.422988e-04 -2.345048e+02 0.000000e+00) (-1.575405e-10 -1.299766e-09 0.000000e+00)) ((1.172524e+01 -1.711494e-05 -5.963976e+01) (6.498832e-11 -7.877026e-12 -1.876106e-10))
0.04          	((-6.379312e-04 -2.345093e+02 0.000000e+00) (-6.930543e-10 -4.308403e-09 0.000000e+00)) ((1.172547e+01 -3.189656e-05 -5.964065e+01) (2.154201e-10 -3.465272e-11 -4.554140e-10))
0.06          	((-9.437660e-04 -2.345138e+02 0.000000e+00) (-1.539138e-09 -8.361374e-09 0.000000e+00)) ((1.172569e+01 -4.718830e-05 -5.964148e+01) (4.180687e-10 -7.695692e-11 -6.946823e-10))
0.08          	((-1.261511e-03 -2.345179e+02 0.000000e+00) (-2.594551e-09 -1.256627e-08 0.000000e+00)) ((1.172589e+01 -6.307553e-05 -5.964224e+01) (6.283137e-10 -1.297276e-10 -7.679841e-10))
0.1           	((-1.588049e-03 -2.345216e+02 0.000000e+00) (-3.847918e-09 -1.704480e-08 0.000000e+00)) ((1.172608e+01 -7.940247e-05 -5.964287e+01) (8.522400e-10 -1.923959e-10 -7.174467e-10))
0.12          	((-1.923689e-03 -2.345247e+02 0.000000e+00) (-5.258871e-09 -2.162700e-08 0.000000e+00)) ((1.172623e+01 -9.618443e-05 -5.964335e+01) (1.081350e-09 -2.629435e-10 -5.362619e-10))
0.14          	((-2.267716e-03 -2.345271e+02 0.000000e+00) (-6.782188e-09 -2.613331e-08 0.000000e+00)) ((1.172636e+01 -1.133858e-04 -5.964366e+01) (1.306665e-09 -3.391094e-10 -2.195867e-10))
0.16          	((-2.618385e-03 -2.345289e+02 0.000000e+00) (-8.370684e-09 -3.038373e-08 0.000000e+00)) ((1.172644e+01 -1.309193e-04 -5.964377e+01) (1.519187e-09 -4.185342e-10 2.357261e-10))
0.18          	((-2.971679e-03 -2.345298e+02 0.000000e+00) (-9.968427e-09 -3.420589e-08 0.000000e+00)) ((1.172649e+01 -1.485839e-04 -5.964369e+01) (1.710294e-09 -4.984213e-10 8.228816e-10))
0.2           	((-3.323927e-03 -2.345300e+02 0.000000e+00) (-1.152013e-08 -3.743375e-08 0.000000e+00)) ((1.172650e+01 -1.661963e-04 -5.964339e+01) (1.871688e-09 -5.760064e-10 1.534028e-09))
0.22          	((-3.669251e-03 -2.345292e+02 0.000000e+00) (-1.296759e-08 -3.991276e-08 0.000000e+00)) ((1.172646e+01 -1.834625e-04 -5.964289e+01) (1.995638e-09 -6.483796e-10 2.355512e-09))
0.24          	((-4.000658e-03 -2.345276e+02 0.000000e+00) (-1.425543e-08 -4.150221e-08 0.000000e+00)) ((1.172638e+01 -2.000329e-04 -5.964217e+01) (2.075111e-09 -7.127715e-10 3.272607e-09))
0.26          	((-4.309508e-03 -2.345252e+02 0.000000e+00) (-1.532684e-08 -4.208188e-08 0.000000e+00)) ((1.172626e+01 -2.154754e-04 -5.964126e+01) (2.104094e-09 -7.663418e-10 4.263655e-09))
0.28          	((-4.586138e-03 -2.345219e+02 0.000000e+00) (-1.612428e-08 -4.155420e-08 0.000000e+00)) ((1.172610e+01 -2.293069e-04 -5.964017e+01) (2.077710e-09 -8.062138e-10 5.300285e-09))
0.3           	((-4.820127e-03 -2.345179e+02 0.000000e+00) (-1.659449e-08 -3.984756e-08 0.000000e+00)) ((1.172589e+01 -2.410063e-04 -5.963893e+01) (1.992378e-09 -8.297245e-10 6.350921e-09))
0.32          	((-5.000344e-03 -2.345131e+02 0.000000e+00) (-1.668882e-08 -3.691899e-08 0.000000e+00)) ((1.172565e+01 -2.500172e-04 -5.963755e+01) (1.845949e-09 -8.344409e-10 7.380456e-09))
0.34          	((-5.110672e-03 -2.345077e+02 0.000000e+00) (-1.635750e-08 -3.275997e-08 0.000000e+00)) ((1.172538e+01 -2.555336e-04 -5.963607e+01) (1.637999e-09 -8.178749e-10 8.343855e-09))
