# Selection : faceZone(f0)
# Faces  :    8
# Area   :    1.063860e-02
# Time        	areaAverage(zeta)
0             	(0.000000e+00 0.000000e+00 0.000000e+00)
0.00117647    	(0.000000e+00 -1.253997e-05 0.000000e+00)
0.00252101    	(0.000000e+00 -1.254023e-05 0.000000e+00)
0.00411001    	(0.000000e+00 -1.254043e-05 0.000000e+00)
0.00587556    	(0.000000e+00 -1.254104e-05 0.000000e+00)
0.00789334    	(0.000000e+00 -1.254233e-05 0.000000e+00)
0.0103147     	(0.000000e+00 -1.254500e-05 0.000000e+00)
0.012736      	(0.000000e+00 -1.254913e-05 0.000000e+00)
0.0151573     	(0.000000e+00 -1.255506e-05 0.000000e+00)
0.0175787     	(0.000000e+00 -1.256311e-05 0.000000e+00)
0.02          	(0.000000e+00 -1.257361e-05 0.000000e+00)
0.0228571     	(0.000000e+00 -1.258992e-05 0.000000e+00)
0.0262857     	(0.000000e+00 -1.261596e-05 0.000000e+00)
0.0297143     	(0.000000e+00 -1.264940e-05 0.000000e+00)
0.0331429     	(0.000000e+00 -1.269114e-05 0.000000e+00)
0.0365714     	(0.000000e+00 -1.274209e-05 0.000000e+00)
0.04          	(0.000000e+00 -1.280312e-05 0.000000e+00)
0.044         	(0.000000e+00 -1.288933e-05 0.000000e+00)
0.048         	(0.000000e+00 -1.299179e-05 0.000000e+00)
0.052         	(0.000000e+00 -1.311195e-05 0.000000e+00)
0.056         	(0.000000e+00 -1.325113e-05 0.000000e+00)
0.06          	(0.000000e+00 -1.341059e-05 0.000000e+00)
0.064         	(0.000000e+00 -1.359158e-05 0.000000e+00)
0.068         	(0.000000e+00 -1.379529e-05 0.000000e+00)
0.072         	(0.000000e+00 -1.402291e-05 0.000000e+00)
0.076         	(0.000000e+00 -1.427555e-05 0.000000e+00)
0.08          	(0.000000e+00 -1.455407e-05 0.000000e+00)
0.084         	(0.000000e+00 -1.485977e-05 0.000000e+00)
0.088         	(0.000000e+00 -1.519365e-05 0.000000e+00)
0.092         	(0.000000e+00 -1.555667e-05 0.000000e+00)
0.096         	(0.000000e+00 -1.594974e-05 0.000000e+00)
0.1           	(0.000000e+00 -1.637372e-05 0.000000e+00)
0.104         	(0.000000e+00 -1.682945e-05 0.000000e+00)
0.108         	(0.000000e+00 -1.731766e-05 0.000000e+00)
0.112         	(0.000000e+00 -1.783908e-05 0.000000e+00)
0.116         	(0.000000e+00 -1.839436e-05 0.000000e+00)
0.12          	(0.000000e+00 -1.898410e-05 0.000000e+00)
0.124         	(0.000000e+00 -1.960884e-05 0.000000e+00)
0.128         	(0.000000e+00 -2.026906e-05 0.000000e+00)
